"Date","Ta_mean","Std_err","Segment","Obs_times_UTC"
1755-01-01,-0.5,0.66,"Basel_Zwinger","0629|1229|1829"
1755-01-02,-1,0.66,"Basel_Zwinger","0629|1229|1829"
1755-01-03,-1.9,0.66,"Basel_Zwinger","0629|1229|1829"
1755-01-04,-4.2,0.66,"Basel_Zwinger","0629|1229|1829"
1755-01-05,-7.6,0.66,"Basel_Zwinger","0629|1229|1829"
1755-01-06,-10.6,0.67,"Basel_Zwinger","0629|1229|1829"
1755-01-07,-12.6,0.67,"Basel_Zwinger","0629|1229|1829"
1755-01-08,-12.1,0.67,"Basel_Zwinger","0629|1229|1829"
1755-01-09,-12.1,0.67,"Basel_Zwinger","0629|1229|1829"
1755-01-10,-7.5,0.67,"Basel_Zwinger","0629|1229|1829"
1755-01-11,-5.6,0.67,"Basel_Zwinger","0629|1229|1829"
1755-01-12,-4.6,0.67,"Basel_Zwinger","0629|1229|1829"
1755-01-13,-4.2,0.68,"Basel_Zwinger","0629|1229|1829"
1755-01-14,-1.9,0.68,"Basel_Zwinger","0629|1229|1829"
1755-01-15,0.3,0.68,"Basel_Zwinger","0629|1229|1829"
1755-01-16,-0.9,0.68,"Basel_Zwinger","0629|1229|1829"
1755-01-17,1.4,0.68,"Basel_Zwinger","0629|1229|1829"
1755-01-18,1.9,0.69,"Basel_Zwinger","0629|1229|1829"
1755-01-19,2.2,0.69,"Basel_Zwinger","0629|1229|1829"
1755-01-20,2.3,0.69,"Basel_Zwinger","0629|1229|1829"
1755-01-21,0.7,0.69,"Basel_Zwinger","0629|1229|1829"
1755-01-22,-3.2,0.69,"Basel_Zwinger","0629|1229|1829"
1755-01-23,-5.4,0.7,"Basel_Zwinger","0629|1229|1829"
1755-01-24,-5.4,0.7,"Basel_Zwinger","0629|1229|1829"
1755-01-25,-6.9,0.7,"Basel_Zwinger","0629|1229|1829"
1755-01-26,-7.7,0.7,"Basel_Zwinger","0629|1229|1829"
1755-01-27,-9.5,0.71,"Basel_Zwinger","0629|1229|1829"
1755-01-28,-6.4,0.71,"Basel_Zwinger","0629|1229|1829"
1755-01-29,-5.8,0.71,"Basel_Zwinger","0629|1229|1829"
1755-01-30,-3.7,0.72,"Basel_Zwinger","0629|1229|1829"
1755-01-31,-5.6,0.72,"Basel_Zwinger","0629|1229|1829"
1755-02-01,-5.8,0.79,"Basel_Zwinger","0629|1229|1829"
1755-02-02,-6.5,0.79,"Basel_Zwinger","0629|1229|1829"
1755-02-03,-6.1,0.79,"Basel_Zwinger","0629|1229|1829"
1755-02-04,-12.6,0.8,"Basel_Zwinger","0629|1229|1829"
1755-02-05,-12.6,0.8,"Basel_Zwinger","0629|1229|1829"
1755-02-06,-8.9,0.8,"Basel_Zwinger","0629|1229|1829"
1755-02-07,-0.7,0.81,"Basel_Zwinger","0629|1229|1829"
1755-02-08,-0.5,0.81,"Basel_Zwinger","0629|1229|1829"
1755-02-09,0.1,0.81,"Basel_Zwinger","0629|1229|1829"
1755-02-10,1.3,0.82,"Basel_Zwinger","0629|1229|1829"
1755-02-11,2.3,0.82,"Basel_Zwinger","0629|1229|1829"
1755-02-12,3.6,0.82,"Basel_Zwinger","0629|1229|1829"
1755-02-13,2.3,0.83,"Basel_Zwinger","0629|1229|1829"
1755-02-14,1.2,0.83,"Basel_Zwinger","0629|1229|1829"
1755-02-15,1.8,0.84,"Basel_Zwinger","0629|1229|1829"
1755-02-16,0.2,0.84,"Basel_Zwinger","0629|1229|1829"
1755-02-17,0.2,0.84,"Basel_Zwinger","0629|1229|1829"
1755-02-18,-0.8,0.85,"Basel_Zwinger","0629|1229|1829"
1755-02-19,-1.6,0.85,"Basel_Zwinger","0629|1229|1829"
1755-02-20,-1.5,0.86,"Basel_Zwinger","0629|1229|1829"
1755-02-21,-3.1,0.86,"Basel_Zwinger","0629|1229|1829"
1755-02-22,-2.7,0.86,"Basel_Zwinger","0629|1229|1829"
1755-02-23,-2.2,0.87,"Basel_Zwinger","0629|1229|1829"
1755-02-24,-0.3,0.87,"Basel_Zwinger","0629|1229|1829"
1755-02-25,1.2,0.88,"Basel_Zwinger","0629|1229|1829"
1755-02-26,0.8,0.88,"Basel_Zwinger","0629|1229|1829"
1755-02-27,2,0.89,"Basel_Zwinger","0629|1229|1829"
1755-02-28,3.6,0.89,"Basel_Zwinger","0629|1229|1829"
1755-03-01,5.4,0.99,"Basel_Zwinger","0629|1229|1829"
1755-03-02,3.4,0.99,"Basel_Zwinger","0629|1229|1829"
1755-03-03,3.7,1,"Basel_Zwinger","0629|1229|1829"
1755-03-04,3.7,1,"Basel_Zwinger","0629|1229|1829"
1755-03-05,3.5,1.01,"Basel_Zwinger","0629|1229|1829"
1755-03-06,4.9,1.01,"Basel_Zwinger","0629|1229|1829"
1755-03-07,3.7,1.02,"Basel_Zwinger","0629|1229|1829"
1755-03-08,3.8,1.02,"Basel_Zwinger","0629|1229|1829"
1755-03-09,3.3,1.02,"Basel_Zwinger","0629|1229|1829"
1755-03-10,3.9,1.03,"Basel_Zwinger","0629|1229|1829"
1755-03-11,2,1.03,"Basel_Zwinger","0629|1229|1829"
1755-03-12,2.7,1.04,"Basel_Zwinger","0629|1229|1829"
1755-03-13,2.1,1.04,"Basel_Zwinger","0629|1229|1829"
1755-03-14,2.4,1.05,"Basel_Zwinger","0629|1229|1829"
1755-03-15,2.4,1.05,"Basel_Zwinger","0629|1229|1829"
1755-03-16,3.7,1.06,"Basel_Zwinger","0629|1229|1829"
1755-03-17,3.2,1.06,"Basel_Zwinger","0629|1229|1829"
1755-03-18,3.3,1.07,"Basel_Zwinger","0629|1229|1829"
1755-03-19,3.8,1.07,"Basel_Zwinger","0629|1229|1829"
1755-03-20,2.8,1.08,"Basel_Zwinger","0629|1229|1829"
1755-03-21,3.8,1.08,"Basel_Zwinger","0629|1229|1829"
1755-03-22,3.6,1.09,"Basel_Zwinger","0629|1229|1829"
1755-03-23,3.2,1.09,"Basel_Zwinger","0629|1229|1829"
1755-03-24,4.9,1.1,"Basel_Zwinger","0629|1229|1829"
1755-03-25,4.8,1.1,"Basel_Zwinger","0629|1229|1829"
1755-03-26,8,1.11,"Basel_Zwinger","0629|1229|1829"
1755-03-27,10.8,1.11,"Basel_Zwinger","0629|1229|1829"
1755-03-28,9.9,1.12,"Basel_Zwinger","0629|1229|1829"
1755-03-29,11.3,1.12,"Basel_Zwinger","0629|1229|1829"
1755-03-30,10.5,1.13,"Basel_Zwinger","0629|1229|1829"
1755-03-31,11.1,1.13,"Basel_Zwinger","0629|1229|1829"
1755-04-01,12.7,1.25,"Basel_Zwinger","0629|1229|1829"
1755-04-02,12.7,1.25,"Basel_Zwinger","0629|1229|1829"
1755-04-03,12.7,1.26,"Basel_Zwinger","0629|1229|1829"
1755-04-04,12.7,1.26,"Basel_Zwinger","0629|1229|1829"
1755-04-05,14.4,1.27,"Basel_Zwinger","0629|1229|1829"
1755-04-06,11.2,1.27,"Basel_Zwinger","0629|1229|1829"
1755-04-07,12.3,1.28,"Basel_Zwinger","0629|1229|1829"
1755-04-08,12.7,1.28,"Basel_Zwinger","0629|1229|1829"
1755-04-09,11.9,1.28,"Basel_Zwinger","0629|1229|1829"
1755-04-10,14.2,1.29,"Basel_Zwinger","0629|1229|1829"
1755-04-11,14.2,1.29,"Basel_Zwinger","0629|1229|1829"
1755-04-12,13.4,1.3,"Basel_Zwinger","0629|1229|1829"
1755-04-13,12.8,1.3,"Basel_Zwinger","0629|1229|1829"
1755-04-14,13.5,1.31,"Basel_Zwinger","0629|1229|1829"
1755-04-15,13.7,1.31,"Basel_Zwinger","0629|1229|1829"
1755-04-16,14.3,1.32,"Basel_Zwinger","0629|1229|1829"
1755-04-17,14.6,1.32,"Basel_Zwinger","0629|1229|1829"
1755-04-18,14.5,1.33,"Basel_Zwinger","0629|1229|1829"
1755-04-19,15.4,1.33,"Basel_Zwinger","0629|1229|1829"
1755-04-20,18.1,1.34,"Basel_Zwinger","0629|1229|1829"
1755-04-21,17.7,1.34,"Basel_Zwinger","0629|1229|1829"
1755-04-22,18.1,1.34,"Basel_Zwinger","0629|1229|1829"
1755-04-23,18.6,1.35,"Basel_Zwinger","0629|1229|1829"
1755-04-24,17.2,1.35,"Basel_Zwinger","0629|1229|1829"
1755-04-25,14.5,1.36,"Basel_Zwinger","0629|1229|1829"
1755-04-26,16.9,1.36,"Basel_Zwinger","0629|1229|1829"
1755-04-27,13.4,1.37,"Basel_Zwinger","0629|1229|1829"
1755-04-28,12.9,1.37,"Basel_Zwinger","0629|1229|1829"
1755-04-29,10.1,1.37,"Basel_Zwinger","0629|1229|1829"
1755-04-30,8.6,1.38,"Basel_Zwinger","0629|1229|1829"
1755-05-01,8.3,1.46,"Basel_Zwinger","0629|1229|1829"
1755-05-02,10.3,1.47,"Basel_Zwinger","0629|1229|1829"
1755-05-03,13,1.47,"Basel_Zwinger","0629|1229|1829"
1755-05-04,8.1,1.47,"Basel_Zwinger","0629|1229|1829"
1755-05-05,10,1.48,"Basel_Zwinger","0629|1229|1829"
1755-05-06,12.3,1.48,"Basel_Zwinger","0629|1229|1829"
1755-05-07,14.3,1.49,"Basel_Zwinger","0629|1229|1829"
1755-05-08,12.7,1.49,"Basel_Zwinger","0629|1229|1829"
1755-05-09,10,1.49,"Basel_Zwinger","0629|1229|1829"
1755-05-10,10.3,1.5,"Basel_Zwinger","0629|1229|1829"
1755-05-11,12.5,1.5,"Basel_Zwinger","0629|1229|1829"
1755-05-12,12,1.5,"Basel_Zwinger","0629|1229|1829"
1755-05-13,11.5,1.51,"Basel_Zwinger","0629|1229|1829"
1755-05-14,11.1,1.51,"Basel_Zwinger","0629|1229|1829"
1755-05-15,11.9,1.51,"Basel_Zwinger","0629|1229|1829"
1755-05-16,12.4,1.51,"Basel_Zwinger","0629|1229|1829"
1755-05-17,12.9,1.52,"Basel_Zwinger","0629|1229|1829"
1755-05-18,8.9,1.52,"Basel_Zwinger","0629|1229|1829"
1755-05-19,7.3,1.52,"Basel_Zwinger","0629|1229|1829"
1755-05-20,7.7,1.53,"Basel_Zwinger","0629|1229|1829"
1755-05-21,9.7,1.53,"Basel_Zwinger","0629|1229|1829"
1755-05-22,10.7,1.53,"Basel_Zwinger","0629|1229|1829"
1755-05-23,11.5,1.53,"Basel_Zwinger","0629|1229|1829"
1755-05-24,13.7,1.54,"Basel_Zwinger","0629|1229|1829"
1755-05-25,14.8,1.54,"Basel_Zwinger","0629|1229|1829"
1755-05-26,15.9,1.54,"Basel_Zwinger","0629|1229|1829"
1755-05-27,16,1.54,"Basel_Zwinger","0629|1229|1829"
1755-05-28,17.9,1.55,"Basel_Zwinger","0629|1229|1829"
1755-05-29,12.9,1.55,"Basel_Zwinger","0629|1229|1829"
1755-05-30,13,1.55,"Basel_Zwinger","0629|1229|1829"
1755-05-31,14.3,1.55,"Basel_Zwinger","0629|1229|1829"
1755-06-01,15.8,1.32,"Basel_dAnnone","0529|1229|1829"
1755-06-02,16.1,1.32,"Basel_dAnnone","0529|1229|1829"
1755-06-03,18.5,1.32,"Basel_dAnnone","0529|1229|1829"
1755-06-04,19.6,1.32,"Basel_dAnnone","0529|1229|1829"
1755-06-05,19.6,1.32,"Basel_dAnnone","0529|1229|1829"
1755-06-06,21.9,1.33,"Basel_dAnnone","0529|1229|1829"
1755-06-07,22.1,1.33,"Basel_dAnnone","0529|1229|1829"
1755-06-08,20.7,1.33,"Basel_dAnnone","0529|1229|1829"
1755-06-09,20.3,1.33,"Basel_dAnnone","0529|1229|1829"
1755-06-10,18,1.33,"Basel_dAnnone","0529|1229|1829"
1755-06-11,18.6,1.33,"Basel_dAnnone","0529|1229|1829"
1755-06-12,20.6,1.33,"Basel_dAnnone","0529|1229|1829"
1755-06-13,21.9,1.33,"Basel_dAnnone","0529|1229|1829"
1755-06-14,23.3,1.33,"Basel_dAnnone","0529|1229|1829"
1755-06-15,23.8,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-16,21.4,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-17,21,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-18,22.4,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-19,23.2,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-20,23.9,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-21,25,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-22,25,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-23,23.1,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-24,18.5,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-25,14.7,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-26,15.6,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-27,17.3,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-28,17.6,1.34,"Basel_dAnnone","0529|1229|1829"
1755-06-29,17.5,1.33,"Basel_dAnnone","0529|1229|1829"
1755-06-30,19.8,1.33,"Basel_dAnnone","0529|1229|1829"
1755-07-01,18.5,1.33,"Basel_dAnnone","0529|1229|1829"
1755-07-02,15.3,1.33,"Basel_dAnnone","0529|1229|1829"
1755-07-03,13.5,1.33,"Basel_dAnnone","0529|1229|1829"
1755-07-04,15.7,1.32,"Basel_dAnnone","0529|1229|1829"
1755-07-05,17.5,1.32,"Basel_dAnnone","0529|1229|1829"
1755-07-06,19.5,1.32,"Basel_dAnnone","0529|1229|1829"
1755-07-07,19.3,1.32,"Basel_dAnnone","0529|1229|1829"
1755-07-08,16.3,1.32,"Basel_dAnnone","0529|1229|1829"
1755-07-09,16.4,1.32,"Basel_dAnnone","0529|1229|1829"
1755-07-10,18.6,1.31,"Basel_dAnnone","0529|1229|1829"
1755-07-11,21,1.31,"Basel_dAnnone","0529|1229|1829"
1755-07-12,24,1.31,"Basel_dAnnone","0529|1229|1829"
1755-07-13,25.7,1.31,"Basel_dAnnone","0529|1229|1829"
1755-07-14,24.4,1.31,"Basel_dAnnone","0529|1229|1829"
1755-07-15,24,1.3,"Basel_dAnnone","0529|1229|1829"
1755-07-16,23.1,1.3,"Basel_dAnnone","0529|1229|1829"
1755-07-17,20,1.3,"Basel_dAnnone","0529|1229|1829"
1755-07-18,21.8,1.3,"Basel_dAnnone","0529|1229|1829"
1755-07-19,21.7,1.29,"Basel_dAnnone","0529|1229|1829"
1755-07-20,20.6,1.29,"Basel_dAnnone","0529|1229|1829"
1755-07-21,21.3,1.29,"Basel_dAnnone","0529|1229|1829"
1755-07-22,23.6,1.28,"Basel_dAnnone","0529|1229|1829"
1755-07-23,21.4,1.28,"Basel_dAnnone","0529|1229|1829"
1755-07-24,19.1,1.28,"Basel_dAnnone","0529|1229|1829"
1755-07-25,17.2,1.27,"Basel_dAnnone","0529|1229|1829"
1755-07-26,16.1,1.27,"Basel_dAnnone","0529|1229|1829"
1755-07-27,13.6,1.27,"Basel_dAnnone","0529|1229|1829"
1755-07-28,13.6,1.26,"Basel_dAnnone","0529|1229|1829"
1755-07-29,15,1.26,"Basel_dAnnone","0529|1229|1829"
1755-07-30,15.2,1.26,"Basel_dAnnone","0529|1229|1829"
1755-07-31,13.4,1.25,"Basel_dAnnone","0529|1229|1829"
1755-08-01,13.4,1.24,"Basel_dAnnone","0529|1229|1829"
1755-08-02,16.8,1.24,"Basel_dAnnone","0529|1229|1829"
1755-08-03,16.6,1.23,"Basel_dAnnone","0529|1229|1829"
1755-08-04,13.2,1.23,"Basel_dAnnone","0529|1229|1829"
1755-08-05,12.4,1.23,"Basel_dAnnone","0529|1229|1829"
1755-08-06,12.7,1.22,"Basel_dAnnone","0529|1229|1829"
1755-08-07,13.4,1.22,"Basel_dAnnone","0529|1229|1829"
1755-08-08,15.6,1.21,"Basel_dAnnone","0529|1229|1829"
1755-08-09,14.4,1.21,"Basel_dAnnone","0529|1229|1829"
1755-08-10,14.7,1.2,"Basel_dAnnone","0529|1229|1829"
1755-08-11,14.8,1.2,"Basel_dAnnone","0529|1229|1829"
1755-08-12,14.5,1.19,"Basel_dAnnone","0529|1229|1829"
1755-08-13,16.4,1.19,"Basel_dAnnone","0529|1229|1829"
1755-08-14,16.4,1.38,"Basel_dAnnone","0529|1829"
1755-08-15,18.7,1.18,"Basel_dAnnone","0529|1229|1829"
1755-08-16,19.2,1.17,"Basel_dAnnone","0529|1229|1829"
1755-08-17,21,1.17,"Basel_dAnnone","0529|1229|1829"
1755-08-18,20.5,1.16,"Basel_dAnnone","0529|1229|1829"
1755-08-19,19.8,1.16,"Basel_dAnnone","0529|1229|1829"
1755-08-20,16.5,1.15,"Basel_dAnnone","0529|1229|1829"
1755-08-21,17.6,1.15,"Basel_dAnnone","0529|1229|1829"
1755-08-22,20.2,1.14,"Basel_dAnnone","0529|1229|1829"
1755-08-23,17.3,1.14,"Basel_dAnnone","0529|1229|1829"
1755-08-24,14.3,1.13,"Basel_dAnnone","0529|1229|1829"
1755-08-25,14.4,1.13,"Basel_dAnnone","0529|1229|1829"
1755-08-26,14.7,1.12,"Basel_dAnnone","0529|1229|1829"
1755-08-27,14.7,1.12,"Basel_dAnnone","0529|1229|1829"
1755-08-28,14.7,1.11,"Basel_dAnnone","0529|1229|1829"
1755-08-29,13.9,1.11,"Basel_dAnnone","0529|1229|1829"
1755-08-30,15.1,1.1,"Basel_dAnnone","0529|1229|1829"
1755-08-31,15.8,1.1,"Basel_dAnnone","0529|1229|1829"
1755-09-01,17.9,1.04,"Basel_dAnnone","0529|1229|1829"
1755-09-02,14.8,1.03,"Basel_dAnnone","0529|1229|1829"
1755-09-03,12,1.03,"Basel_dAnnone","0529|1229|1829"
1755-09-04,12.7,1.02,"Basel_dAnnone","0529|1229|1829"
1755-09-05,14.2,1.01,"Basel_dAnnone","0529|1229|1829"
1755-09-06,14.3,1.01,"Basel_dAnnone","0529|1229|1829"
1755-09-07,12.8,1,"Basel_dAnnone","0529|1229|1829"
1755-09-08,12.7,1,"Basel_dAnnone","0529|1229|1829"
1755-09-09,15.1,0.99,"Basel_dAnnone","0529|1229|1829"
1755-09-10,11.6,0.98,"Basel_dAnnone","0529|1229|1829"
1755-09-11,8.8,0.98,"Basel_dAnnone","0529|1229|1829"
1755-09-12,10.4,0.97,"Basel_dAnnone","0529|1229|1829"
1755-09-13,12.2,0.97,"Basel_dAnnone","0529|1229|1829"
1755-09-14,12.2,0.96,"Basel_dAnnone","0529|1229|1829"
1755-09-15,14.2,0.95,"Basel_dAnnone","0529|1229|1829"
1755-09-16,14.8,0.95,"Basel_dAnnone","0529|1229|1829"
1755-09-17,14.9,0.94,"Basel_dAnnone","0529|1229|1829"
1755-09-18,12.7,0.94,"Basel_dAnnone","0529|1229|1829"
1755-09-19,11.8,0.93,"Basel_dAnnone","0529|1229|1829"
1755-09-20,14,0.92,"Basel_dAnnone","0529|1229|1829"
1755-09-21,12.7,0.92,"Basel_dAnnone","0529|1229|1829"
1755-09-22,13.5,0.91,"Basel_dAnnone","0529|1229|1829"
1755-09-23,14.7,0.91,"Basel_dAnnone","0529|1229|1829"
1755-09-24,14.9,0.9,"Basel_dAnnone","0529|1229|1829"
1755-09-25,13.7,0.89,"Basel_dAnnone","0529|1229|1829"
1755-09-26,13.7,0.89,"Basel_dAnnone","0529|1229|1829"
1755-09-27,13.8,0.88,"Basel_dAnnone","0529|1229|1829"
1755-09-28,14.9,0.88,"Basel_dAnnone","0529|1229|1829"
1755-09-29,14.8,0.87,"Basel_dAnnone","0529|1229|1829"
1755-09-30,13.1,0.87,"Basel_dAnnone","0529|1229|1829"
1755-10-01,11.7,0.83,"Basel_dAnnone","0529|1229|1829"
1755-10-02,12.1,0.82,"Basel_dAnnone","0529|1229|1829"
1755-10-03,13.3,0.82,"Basel_dAnnone","0529|1229|1829"
1755-10-04,13.3,0.81,"Basel_dAnnone","0529|1229|1829"
1755-10-05,13.7,0.81,"Basel_dAnnone","0529|1229|1829"
1755-10-06,12.3,0.8,"Basel_dAnnone","0529|1229|1829"
1755-10-07,13.2,0.79,"Basel_dAnnone","0529|1229|1829"
1755-10-08,14.5,0.79,"Basel_dAnnone","0529|1229|1829"
1755-10-09,15.2,0.78,"Basel_dAnnone","0529|1229|1829"
1755-10-10,13.4,0.78,"Basel_dAnnone","0529|1229|1829"
1755-10-11,9.3,0.77,"Basel_dAnnone","0529|1229|1829"
1755-10-12,8.1,0.77,"Basel_dAnnone","0529|1229|1829"
1755-10-13,10.5,0.76,"Basel_dAnnone","0529|1229|1829"
1755-10-14,11.8,0.75,"Basel_dAnnone","0529|1229|1829"
1755-10-15,12.3,0.75,"Basel_dAnnone","0529|1229|1829"
1755-10-16,11.2,0.74,"Basel_dAnnone","0529|1229|1829"
1755-10-17,12,0.74,"Basel_dAnnone","0529|1229|1829"
1755-10-18,10.8,0.73,"Basel_dAnnone","0529|1229|1829"
1755-10-19,11.5,0.73,"Basel_dAnnone","0529|1229|1829"
1755-10-20,10.3,0.72,"Basel_dAnnone","0529|1229|1829"
1755-10-21,9.3,0.72,"Basel_dAnnone","0529|1229|1829"
1755-10-22,9.3,0.71,"Basel_dAnnone","0529|1229|1829"
1755-10-23,8,0.71,"Basel_dAnnone","0529|1229|1829"
1755-10-24,5.2,0.7,"Basel_dAnnone","0529|1229|1829"
1755-10-25,8.2,0.7,"Basel_dAnnone","0529|1229|1829"
1755-10-26,6.7,0.69,"Basel_dAnnone","0529|1229|1829"
1755-10-27,5.8,0.69,"Basel_dAnnone","0529|1229|1829"
1755-10-28,7.3,0.69,"Basel_dAnnone","0529|1229|1829"
1755-10-29,3.8,0.68,"Basel_dAnnone","0529|1229|1829"
1755-10-30,0.3,0.68,"Basel_dAnnone","0529|1229|1829"
1755-10-31,2.4,0.67,"Basel_dAnnone","0529|1229|1829"
1755-11-01,4.2,0.67,"Basel_dAnnone","0629|1229|1829"
1755-11-02,2.6,0.66,"Basel_dAnnone","0629|1229|1829"
1755-11-03,5.5,0.66,"Basel_dAnnone","0629|1229|1829"
1755-11-04,10.5,0.66,"Basel_dAnnone","0629|1229|1829"
1755-11-05,8.2,0.65,"Basel_dAnnone","0629|1229|1829"
1755-11-06,4,0.65,"Basel_dAnnone","0629|1229|1829"
1755-11-07,3.8,0.64,"Basel_dAnnone","0629|1229|1829"
1755-11-08,7.5,0.64,"Basel_dAnnone","0629|1229|1829"
1755-11-09,8.4,0.64,"Basel_dAnnone","0629|1229|1829"
1755-11-10,3.9,0.63,"Basel_dAnnone","0629|1229|1829"
1755-11-11,5,0.63,"Basel_dAnnone","0629|1229|1829"
1755-11-12,4.8,0.63,"Basel_dAnnone","0629|1229|1829"
1755-11-13,9.2,0.62,"Basel_dAnnone","0629|1229|1829"
1755-11-14,8.6,0.62,"Basel_dAnnone","0629|1229|1829"
1755-11-15,8.4,0.62,"Basel_dAnnone","0629|1229|1829"
1755-11-16,6.1,0.61,"Basel_dAnnone","0629|1229|1829"
1755-11-17,4.9,0.61,"Basel_dAnnone","0629|1229|1829"
1755-11-18,8.6,0.61,"Basel_dAnnone","0629|1229|1829"
1755-11-19,10,0.61,"Basel_dAnnone","0629|1229|1829"
1755-11-20,8,0.6,"Basel_dAnnone","0629|1229|1829"
1755-11-21,7.8,0.6,"Basel_dAnnone","0629|1229|1829"
1755-11-22,10.3,0.6,"Basel_dAnnone","0629|1229|1829"
1755-11-23,13.1,0.6,"Basel_dAnnone","0629|1229|1829"
1755-11-24,9.8,0.59,"Basel_dAnnone","0629|1229|1829"
1755-11-25,9.7,0.59,"Basel_dAnnone","0629|1229|1829"
1755-11-26,6.5,0.59,"Basel_dAnnone","0629|1229|1829"
1755-11-27,6.6,0.59,"Basel_dAnnone","0629|1229|1829"
1755-11-28,4.8,0.58,"Basel_dAnnone","0629|1229|1829"
1755-11-29,8.4,0.58,"Basel_dAnnone","0629|1229|1829"
1755-11-30,7.5,0.58,"Basel_dAnnone","0629|1229|1829"
1755-12-01,7.8,0.59,"Basel_dAnnone","0629|1229|1829"
1755-12-02,4.4,0.58,"Basel_dAnnone","0629|1229|1829"
1755-12-03,3.7,0.58,"Basel_dAnnone","0629|1229|1829"
1755-12-04,1.5,0.58,"Basel_dAnnone","0629|1229|1829"
1755-12-05,0.8,0.58,"Basel_dAnnone","0629|1229|1829"
1755-12-06,-5.9,0.58,"Basel_dAnnone","0629|1229|1829"
1755-12-07,-6.6,0.58,"Basel_dAnnone","0629|1229|1829"
1755-12-08,-3.3,0.58,"Basel_dAnnone","0629|1229|1829"
1755-12-09,3.2,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-10,4.9,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-11,3.7,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-12,4.1,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-13,2.6,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-14,1.1,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-15,3.8,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-16,4.5,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-17,4.4,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-18,1.8,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-19,-0.7,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-20,2.5,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-21,4.5,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-22,4.1,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-23,2.4,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-24,3.7,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-25,2.5,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-26,3.9,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-27,3.7,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-28,6,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-29,6.4,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-30,4.6,0.57,"Basel_dAnnone","0629|1229|1829"
1755-12-31,3.5,0.57,"Basel_dAnnone","0629|1229|1829"
1756-01-01,2.2,0.6,"Basel_dAnnone","0629|1229|1829"
1756-01-02,4.2,0.6,"Basel_dAnnone","0629|1229|1829"
1756-01-03,2.6,0.6,"Basel_dAnnone","0629|1229|1829"
1756-01-04,2.6,0.6,"Basel_dAnnone","0629|1229|1829"
1756-01-05,4.4,0.6,"Basel_dAnnone","0629|1229|1829"
1756-01-06,2.2,0.61,"Basel_dAnnone","0629|1229|1829"
1756-01-07,3.8,0.61,"Basel_dAnnone","0629|1229|1829"
1756-01-08,4.7,0.61,"Basel_dAnnone","0629|1229|1829"
1756-01-09,5,0.61,"Basel_dAnnone","0629|1229|1829"
1756-01-10,4.7,0.61,"Basel_dAnnone","0629|1229|1829"
1756-01-11,1.5,0.61,"Basel_dAnnone","0629|1229|1829"
1756-01-12,0.7,0.62,"Basel_dAnnone","0629|1229|1829"
1756-01-13,5.1,0.62,"Basel_dAnnone","0629|1229|1829"
1756-01-14,7.6,0.62,"Basel_dAnnone","0629|1229|1829"
1756-01-15,6,0.62,"Basel_dAnnone","0629|1229|1829"
1756-01-16,2.4,0.62,"Basel_dAnnone","0629|1229|1829"
1756-01-17,2.2,0.63,"Basel_dAnnone","0629|1229|1829"
1756-01-18,5.2,0.63,"Basel_dAnnone","0629|1229|1829"
1756-01-19,7.9,0.63,"Basel_dAnnone","0629|1229|1829"
1756-01-20,5.1,0.63,"Basel_dAnnone","0629|1229|1829"
1756-01-21,5.3,0.64,"Basel_dAnnone","0629|1229|1829"
1756-01-22,3,0.64,"Basel_dAnnone","0629|1229|1829"
1756-01-23,1.3,0.64,"Basel_dAnnone","0629|1229|1829"
