SEF	1.0.0
ID	Bern_Lombach
Name	Bern
Lat	46.946585
Lon	7.441255
Alt	540
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Lombach|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1789	5	24	24	0	day	18	correction=-0.43
1789	5	25	24	0	day	12.6	correction=-0.43
1789	5	26	24	0	day	12.7	correction=-0.43
1789	5	27	24	0	day	13.5	correction=-0.43
1789	5	28	24	0	day	11.9	correction=-0.43
1789	5	29	24	0	day	15.2	correction=-0.42
1789	5	30	24	0	day	15.6	correction=-0.42
1789	5	31	24	0	day	15.6	correction=-0.42
1789	6	1	24	0	day	14.6	correction=-0.42
1789	6	2	24	0	day	9.9	correction=-0.42
1789	6	3	24	0	day	10.4	correction=-0.42
1789	6	4	24	0	day	9.4	correction=-0.42
1789	6	5	24	0	day	9.3	correction=-0.41
1789	6	6	24	0	day	10.5	correction=-0.41
1789	6	7	24	0	day	8.6	correction=-0.41
1789	6	8	24	0	day	7.9	correction=-0.41
1789	6	9	24	0	day	11	correction=-0.41
1789	6	10	24	0	day	10.3	correction=-0.41
1789	6	11	24	0	day	11.9	correction=-0.41
1789	6	12	24	0	day	12.5	correction=-0.41
1789	6	13	24	0	day	10.4	correction=-0.41
1789	6	14	24	0	day	14.2	correction=-0.41
1789	6	15	24	0	day	16	correction=-0.4
1789	6	16	24	0	day	16.6	correction=-0.4
1789	6	17	24	0	day	17.7	correction=-0.4
1789	6	18	24	0	day	18.7	correction=-0.4
1789	6	19	24	0	day	19.5	correction=-0.4
1789	6	20	24	0	day	20.2	correction=-0.4
1789	6	21	24	0	day	16.7	correction=-0.4
1789	6	22	24	0	day	16.7	correction=-0.4
1789	6	23	24	0	day	15.8	correction=-0.4
1789	6	24	24	0	day	18.2	correction=-0.4
1789	6	25	24	0	day	15.1	correction=-0.4
1789	6	26	24	0	day	15	correction=-0.39
1789	6	27	24	0	day	14.5	correction=-0.39
1789	6	28	24	0	day	12.9	correction=-0.39
1789	6	29	24	0	day	10.7	correction=-0.39
1789	6	30	24	0	day	10.4	correction=-0.39
1789	7	1	24	0	day	12.9	correction=-0.39
1789	7	2	24	0	day	14.8	correction=-0.39
1789	7	3	24	0	day	16	correction=-0.39
1789	7	4	24	0	day	17.8	correction=-0.39
1789	7	5	24	0	day	19.4	correction=-0.39
1789	7	6	24	0	day	14.7	correction=-0.38
1789	7	7	24	0	day	15.6	correction=-0.38
1789	7	8	24	0	day	17	correction=-0.38
1789	7	9	24	0	day	20.7	correction=-0.38
1789	7	10	24	0	day	22	correction=-0.38
1789	7	11	24	0	day	21	correction=-0.38
1789	7	12	24	0	day	20.7	correction=-0.38
1789	7	13	24	0	day	14.9	correction=-0.37
1789	7	14	24	0	day	15	correction=-0.37
1789	7	15	24	0	day	16.1	correction=-0.37
1789	7	16	24	0	day	18.5	correction=-0.37
1789	7	17	24	0	day	19	correction=-0.37
1789	7	18	24	0	day	15.9	correction=-0.37
1789	7	19	24	0	day	16.3	correction=-0.36
1789	7	20	24	0	day	13.7	correction=-0.36
1789	7	21	24	0	day	18.2	correction=-0.36
1789	7	22	24	0	day	18.5	correction=-0.36
1789	7	23	24	0	day	15.1	correction=-0.36
1789	7	24	24	0	day	15.1	correction=-0.35
1789	7	25	24	0	day	15.9	correction=-0.35
1789	7	26	24	0	day	18.2	correction=-0.35
1789	7	27	24	0	day	15.6	correction=-0.35
1789	7	28	24	0	day	13.6	correction=-0.34
1789	7	29	24	0	day	14.1	correction=-0.34
1789	7	30	24	0	day	15.9	correction=-0.34
1789	7	31	24	0	day	16.7	correction=-0.34
1789	8	1	24	0	day	17.1	correction=-0.33
1789	8	2	24	0	day	15.8	correction=-0.33
1789	8	3	24	0	day	15.7	correction=-0.33
1789	8	4	24	0	day	17.3	correction=-0.33
1789	8	5	24	0	day	21.1	correction=-0.32
1789	8	6	24	0	day	21.4	correction=-0.32
1789	8	7	24	0	day	21	correction=-0.32
1789	8	8	24	0	day	18.8	correction=-0.31
1789	8	9	24	0	day	20	correction=-0.31
1789	8	10	24	0	day	22.4	correction=-0.31
1789	8	11	24	0	day	20	correction=-0.3
1789	8	12	24	0	day	19.5	correction=-0.3
1789	8	13	24	0	day	20	correction=-0.3
1789	8	14	24	0	day	17	correction=-0.29
1789	8	15	24	0	day	17.2	correction=-0.29
1789	8	16	24	0	day	15.6	correction=-0.29
1789	8	17	24	0	day	14.1	correction=-0.28
1789	8	18	24	0	day	16.8	correction=-0.28
1789	8	19	24	0	day	16	correction=-0.27
1789	8	20	24	0	day	17.5	correction=-0.27
1789	8	21	24	0	day	16.8	correction=-0.27
1789	8	22	24	0	day	14.5	correction=-0.26
1789	8	23	24	0	day	12.6	correction=-0.26
1789	8	24	24	0	day	12.8	correction=-0.26
1789	8	25	24	0	day	11.4	correction=-0.25
1789	8	26	24	0	day	10.8	correction=-0.25
1789	8	27	24	0	day	14.5	correction=-0.24
1789	8	28	24	0	day	15.1	correction=-0.24
1789	8	29	24	0	day	17.2	correction=-0.24
1789	8	30	24	0	day	17.9	correction=-0.23
1789	8	31	24	0	day	9.6	correction=-0.23
1789	9	1	24	0	day	13.2	correction=-0.23
1789	9	2	24	0	day	15.9	correction=-0.22
1789	9	3	24	0	day	15.6	correction=-0.22
1789	9	4	24	0	day	16.8	correction=-0.21
1789	9	5	24	0	day	16	correction=-0.21
1789	9	6	24	0	day	16.6	correction=-0.21
1789	9	7	24	0	day	14.7	correction=-0.2
1789	9	8	24	0	day	14.7	correction=-0.2
1789	9	9	24	0	day	14.5	correction=-0.2
1789	9	10	24	0	day	15.8	correction=-0.19
1789	9	11	24	0	day	15.6	correction=-0.19
1789	9	12	24	0	day	13.3	correction=-0.19
1789	9	13	24	0	day	11.4	correction=-0.18
1789	9	14	24	0	day	15.2	correction=-0.18
1789	9	15	24	0	day	14.5	correction=-0.18
1789	9	16	24	0	day	13.1	correction=-0.17
1789	9	17	24	0	day	9	correction=-0.17
1789	9	18	24	0	day	8.6	correction=-0.17
1789	9	19	24	0	day	10.1	correction=-0.16
1789	9	20	24	0	day	10.4	correction=-0.16
1789	9	21	24	0	day	10.7	correction=-0.16
1789	9	22	24	0	day	11.6	correction=-0.16
1789	9	23	24	0	day	11.5	correction=-0.15
1789	9	24	24	0	day	11.8	correction=-0.15
1789	9	25	24	0	day	9.5	correction=-0.15
1789	9	26	24	0	day	10	correction=-0.15
1789	9	27	24	0	day	11	correction=-0.14
1789	9	28	24	0	day	12.8	correction=-0.14
1789	9	29	24	0	day	12	correction=-0.14
1789	9	30	24	0	day	13.2	correction=-0.14
1789	10	1	24	0	day	13.2	correction=-0.14
1789	10	2	24	0	day	10.9	correction=-0.14
1789	10	3	24	0	day	9	correction=-0.13
1789	10	4	24	0	day	8.6	correction=-0.13
1789	10	5	24	0	day	8.7	correction=-0.13
1789	10	6	24	0	day	7.9	correction=-0.13
1789	10	7	24	0	day	8.3	correction=-0.13
1789	10	8	24	0	day	6	correction=-0.13
1789	10	9	24	0	day	8.4	correction=-0.13
1789	10	10	24	0	day	7.4	correction=-0.13
1789	10	11	24	0	day	7.9	correction=-0.13
1789	10	12	24	0	day	5.4	correction=-0.13
1789	10	13	24	0	day	5.7	correction=-0.13
1789	10	14	24	0	day	6.7	correction=-0.13
1789	10	15	24	0	day	8	correction=-0.13
1789	10	16	24	0	day	8.1	correction=-0.13
1789	10	17	24	0	day	8.3	correction=-0.13
1789	10	18	24	0	day	7.4	correction=-0.13
1789	10	19	24	0	day	8.6	correction=-0.14
1789	10	20	24	0	day	7.6	correction=-0.14
1789	10	21	24	0	day	8.4	correction=-0.14
1789	10	22	24	0	day	7.8	correction=-0.14
1789	10	23	24	0	day	7.2	correction=-0.14
1789	10	24	24	0	day	7.1	correction=-0.14
1789	10	25	24	0	day	6.9	correction=-0.15
1789	10	26	24	0	day	7.4	correction=-0.15
1789	10	27	24	0	day	6.6	correction=-0.15
1789	10	28	24	0	day	7.9	correction=-0.15
1789	10	29	24	0	day	6.3	correction=-0.16
1789	10	30	24	0	day	6.3	correction=-0.16
1789	10	31	24	0	day	5.2	correction=-0.16
1789	11	1	24	0	day	3.2	correction=-0.17
1789	11	2	24	0	day	4.7	correction=-0.17
1789	11	3	24	0	day	4.7	correction=-0.18
1789	11	4	24	0	day	3.4	correction=-0.18
1789	11	5	24	0	day	3.7	correction=-0.18
1789	11	6	24	0	day	5.3	correction=-0.19
1789	11	7	24	0	day	2.5	correction=-0.19
1789	11	8	24	0	day	2.2	correction=-0.2
1789	11	9	24	0	day	2.4	correction=-0.2
1789	11	10	24	0	day	4.1	correction=-0.21
1789	11	11	24	0	day	1.1	correction=-0.21
1789	11	12	24	0	day	0.4	correction=-0.22
1789	11	13	24	0	day	3.5	correction=-0.22
1789	11	14	24	0	day	8.4	correction=-0.23
1789	11	15	24	0	day	9	correction=-0.24
1789	11	16	24	0	day	4.6	correction=-0.24
1789	11	17	24	0	day	3.7	correction=-0.25
1789	11	18	24	0	day	3.8	correction=-0.25
1789	11	19	24	0	day	-0.4	correction=-0.26
1789	11	20	24	0	day	2.1	correction=-0.27
1789	11	21	24	0	day	0.6	correction=-0.27
1789	11	22	24	0	day	-0.3	correction=-0.28
1789	11	23	24	0	day	0	correction=-0.29
1789	11	24	24	0	day	-1	correction=-0.29
1789	11	25	24	0	day	-4.7	correction=-0.3
1789	11	26	24	0	day	-5.5	correction=-0.31
1789	11	27	24	0	day	-6.3	correction=-0.32
1789	11	28	24	0	day	-2.5	correction=-0.32
1789	11	29	24	0	day	-3.1	correction=-0.33
1789	11	30	24	0	day	-3.2	correction=-0.34
1789	12	1	24	0	day	-6.7	correction=-0.35
1789	12	2	24	0	day	-4.1	correction=-0.35
1789	12	3	24	0	day	-1.8	correction=-0.36
1789	12	4	24	0	day	-0.8	correction=-0.37
1789	12	5	24	0	day	-4.8	correction=-0.38
1789	12	6	24	0	day	-3.4	correction=-0.39
1789	12	7	24	0	day	-1.8	correction=-0.39
1789	12	8	24	0	day	-1.3	correction=-0.4
1789	12	9	24	0	day	0	correction=-0.41
1789	12	10	24	0	day	-5.9	correction=-0.42
1789	12	11	24	0	day	-6.7	correction=-0.43
1789	12	12	24	0	day	-4.5	correction=-0.43
1789	12	13	24	0	day	-3.3	correction=-0.44
1789	12	14	24	0	day	-2.5	correction=-0.45
1789	12	15	24	0	day	-2.7	correction=-0.46
1789	12	16	24	0	day	2.4	correction=-0.47
1789	12	17	24	0	day	0.2	correction=-0.47
1789	12	18	24	0	day	-0.8	correction=-0.48
1789	12	19	24	0	day	-4.1	correction=-0.49
1789	12	20	24	0	day	1	correction=-0.5
1789	12	21	24	0	day	0.6	correction=-0.51
1789	12	22	24	0	day	-1.6	correction=-0.52
1789	12	23	24	0	day	1.9	correction=-0.52
1789	12	24	24	0	day	-0.4	correction=-0.53
1789	12	25	24	0	day	1.9	correction=-0.54
1789	12	26	24	0	day	1.1	correction=-0.55
1789	12	27	24	0	day	0.9	correction=-0.56
1789	12	28	24	0	day	0.3	correction=-0.56
1789	12	29	24	0	day	2.1	correction=-0.57
1789	12	30	24	0	day	2.3	correction=-0.58
1789	12	31	24	0	day	-0.8	correction=-0.59
